|    1|   Geoffrey BOUCHARD|    3|  100|    2|    3|    0|            0|
|    2|        Phil BAUHAUS|    5|    5|    5|    5|    0|            1|
|    3|      Leonardo BASSO|    3|    0|    2|    3|    1|            2|
|    1|   Geoffrey BOUCHARD|    3|    0|    2|    3|    0|            0|
|    2|        Phil BAUHAUS|    5|    5|    5|    5|    0|            1|
|    3|      Leonardo BASSO|    3|    0|    2|    3|    1|            2|
|    1|   Geoffrey BOUCHARD|    3|    0|    2|    3|    0|            0|
|    2|        Phil BAUHAUS|    5|    5|    5|    5|    0|            1|
|    3|      Leonardo BASSO|    3|    0|    2|    3|    1|            2|
|    1|   Geoffrey BOUCHARD|    3|    0|    2|    3|    0|            0|
|    2|        Phil BAUHAUS|    5|    5|    5|    5|    0|            1|
|    3|      Leonardo BASSO|    3|    0|    2|    3|    1|            2|
